#pacId	locusName	transcriptName	peptideName	Pfam	Panther	KOG	ec	KO	GO	Best-hit-arabi-name	arabi-symbol	arabi-defline
42423426	Gohir.1Z001700	Gohir.1Z001700.1	Gohir.1Z001700.1.p	PF01554	PTHR11206,PTHR11206:SF154	KOG1347			GO:0055085,GO:0016020,GO:0015297,GO:0015238,GO:0006855	AT5G17700.1		MATE efflux family protein
42423432	Gohir.1Z014800	Gohir.1Z014800.1	Gohir.1Z014800.1.p	PF13768	PTHR10338,PTHR10338:SF114					AT1G19110.1		inter-alpha-trypsin inhibitor heavy chain-related
42423433	Gohir.1Z014800	Gohir.1Z014800.2	Gohir.1Z014800.2.p	PF13768	PTHR10338,PTHR10338:SF114					AT1G19110.1		inter-alpha-trypsin inhibitor heavy chain-related
42433928	Gohir.1Z015600	Gohir.1Z015600.2	Gohir.1Z015600.2.p	PF05804	PTHR23315,PTHR23315:SF90					AT1G23180.1		ARM repeat superfamily protein
42433929	Gohir.1Z015700	Gohir.1Z015700.1	Gohir.1Z015700.1.p		PTHR36340,PTHR36340:SF1					AT2G01590.1	CRR3	chlororespiratory reduction 3
42449385	Gohir.1Z016200	Gohir.1Z016200.1	Gohir.1Z016200.1.p		PTHR33191,PTHR33191:SF8							
42449384	Gohir.1Z016300	Gohir.1Z016300.1	Gohir.1Z016300.1.p		PTHR33191,PTHR33191:SF8							
42423414	Gohir.1Z047500	Gohir.1Z047500.1	Gohir.1Z047500.1.p	PF00582,PF00069	PTHR27001,PTHR27001:SF116	KOG1187	2.7.11.1		GO:0006950,GO:0006468,GO:0005524,GO:0004672	AT5G57670.2		Protein kinase superfamily protein
42423413	Gohir.1Z047500	Gohir.1Z047500.2	Gohir.1Z047500.2.p	PF00582,PF00069	PTHR27001,PTHR27001:SF116	KOG1187	2.7.11.1		GO:0006950,GO:0006468,GO:0005524,GO:0004672	AT5G57670.2		Protein kinase superfamily protein
42416702	Gohir.1Z049301	Gohir.1Z049301.1	Gohir.1Z049301.1.p	PF00249	PTHR10641,PTHR10641:SF626					AT4G21440.1	ATM4,ATMYB102,MYB102	MYB-like 102
42413804	Gohir.1Z049302	Gohir.1Z049302.1	Gohir.1Z049302.1.p	PF12847	PTHR18895,PTHR18895:SF74	KOG2904	2.1.1.297			AT5G64150.1		RNA methyltransferase family protein
42375538	Gohir.1Z049303	Gohir.1Z049303.1	Gohir.1Z049303.1.p									
42471606	Gohir.1Z049304	Gohir.1Z049304.1	Gohir.1Z049304.1.p	PF00295	PTHR31375,PTHR31375:SF37		3.2.1.15		GO:0005975,GO:0004650	AT3G07820.1		Pectin lyase-like superfamily protein
42367984	Gohir.1Z049305	Gohir.1Z049305.1	Gohir.1Z049305.1.p	PF03171	PTHR10869,PTHR10869:SF42		1.14.11.2		GO:0055114,GO:0016491	AT2G43080.1	AT-P4H-1	P4H isoform 1
42416735	Gohir.1Z049306	Gohir.1Z049306.1	Gohir.1Z049306.1.p		PTHR12849					AT4G31770.1	ATDBR1,DBR1	debranching enzyme 1
42416712	Gohir.1Z049307	Gohir.1Z049307.1	Gohir.1Z049307.1.p	PF02824,PF01926,PF16897	PTHR11702,PTHR11702:SF26				GO:0005525	AT4G39520.1		GTP-binding protein-related
42423420	Gohir.1Z049308	Gohir.1Z049308.1	Gohir.1Z049308.1.p									
42385551	Gohir.1Z049309	Gohir.1Z049309.1	Gohir.1Z049309.1.p	PF03367	PTHR10876,PTHR10876:SF0	KOG2703			GO:0008270	AT5G37340.3		ZPR1 zinc-finger domain protein
42423444	Gohir.1Z049310	Gohir.1Z049310.1	Gohir.1Z049310.1.p		PTHR15641,PTHR15641:SF1					AT2G18410.2		
42433919	Gohir.1Z049311	Gohir.1Z049311.1	Gohir.1Z049311.1.p									
42427487	Gohir.1Z049312	Gohir.1Z049312.1	Gohir.1Z049312.1.p	PF13855	PTHR24365				GO:0005515	AT3G15410.2		Leucine-rich repeat (LRR) family protein
42449422	Gohir.1Z049313	Gohir.1Z049313.1	Gohir.1Z049313.1.p	PF08583	PTHR22977	KOG4148				AT4G21192.1		Cytochrome c oxidase biogenesis protein Cmc1-like
42449423	Gohir.1Z049313	Gohir.1Z049313.2	Gohir.1Z049313.2.p	PF08583	PTHR22977	KOG4148				AT4G21192.2		Cytochrome c oxidase biogenesis protein Cmc1-like
